Action indicator,Part Number,VN,Part Description,Part Description 2,Retail Price,VPN,Weight,UPC,Length,Width,Height,Price Change,Customer Price,Avaialbility Flag,,CPU Code,Media Type,Category,New Item,Rebate
A,ATTSUB      ,9602,AT&T ACTIVATION W/ SUBSIDY MUST,CONTACT MOBILE TEAM FOR ACTIVATION ,0,ATTACT              ,0,             ,0,0,0, ,0.01,N, ,WL-SVC,SVCS,1261, ,N
A,BA0011      ,U206,1YR OFFICESTD ALNG LICSAPK OLV ,D AP                               ,134,021-09108           ,0,             ,0,0,0, ,113.45,N, ,INT-SW,SLIC,1539, ,N
A,BA0013      ,U206,1YR OFFICESTD ALNG LICSAPK OLV ,C AP                               ,165,021-09202           ,0,             ,0,0,0, ,139.46,N, ,INT-SW,SLIC,1539, ,N
A,BA0025      ,U206,1YR WORD ALNG LICSAPK OLV D AP ,                                   ,66,059-07014           ,0,             ,0,0,0, ,56,N, ,WP-SW ,SLIC,1539, ,N
A,BA0027      ,U206,1YR WORD ALNG LICSAPK OLV C AP ,                                   ,81,059-07527           ,0,             ,0,0,0, ,68.77,N, ,WP-SW ,SLIC,1539, ,N
A,BA0039      ,U206,1YR EXCEL ALNG LICSAPK OLV D AP,                                   ,66,065-06444           ,0,             ,0,0,0, ,56,N, ,SS-SW ,SLIC,1539, ,N
A,BA0041      ,U206,1YR EXCEL ALNG LICSAPK OLV C AP,                                   ,81,065-06861           ,0,             ,0,0,0, ,68.77,N, ,SS-SW ,SLIC,1539, ,N
A,BA0067      ,U206,1YR PRJCT ALNG LICSAPK OLV D AP,                                   ,203,076-04355           ,0,             ,0,0,0, ,171.86,N, ,INT-SW,SLIC,1539, ,N
A,BA0069      ,U206,1YR PRJCT ALNG LICSAPK OLV C AP,                                   ,249,076-04458           ,0,             ,0,0,0, ,211.12,N, ,INT-SW,SLIC,1539, ,N
A,BA0080      ,U206,1YR ACCESS ALNG LICSAPK OLV D  ,AP                                 ,68,077-05318           ,0,             ,0,0,0, ,57.33,N, ,DB-SW ,SLIC,1582, ,N
A,BA0083      ,U206,1YR ACCESS ALNG LICSAPK OLV C  ,AP                                 ,83,077-05652           ,0,             ,0,0,0, ,70.33,N, ,DB-SW ,SLIC,1582, ,N
A,BA0095      ,U206,1YR PWRPOINT ALNG LICSAPK OLV D,AP                                 ,66,079-04668           ,0,             ,0,0,0, ,56,N, ,INT-SW,SLIC,1539, ,N
A,BA0097      ,U206,1YR PWRPOINT ALNG LICSAPK OLV C,AP                                 ,81,079-05086           ,0,             ,0,0,0, ,68.77,N, ,INT-SW,SLIC,1539, ,N
A,BA0224      ,U206,1YR VSTEAMFNDTNSVR ALNG LICSAPK,OLV D AP                           ,120,125-00511           ,0,             ,0,0,0, ,101.89,N, ,INT-SW,SLIC,1539, ,N
A,BA0227      ,U206,1YR VSTEAMFNDTNSVR ALNG LICSAPK,OLV C AP                           ,148,125-00821           ,0,             ,0,0,0, ,125.25,N, ,INT-SW,SLIC,1539, ,N
A,BA0249      ,U206,1YR VSTEAMFNDTNSVRCAL ALNG     ,LICSAPK OLV D AP DVCCAL            ,120,126-01023           ,0,             ,0,0,0, ,101.89,N, ,INT-SW,SLIC,1539, ,N
A,BA0250      ,U206,1YR VSTEAMFNDTNSVRCAL ALNG     ,LICSAPK OLV D AP USRCAL            ,138,126-01024           ,0,             ,0,0,0, ,117.06,N, ,INT-SW,SLIC,1539, ,N
A,BA0253      ,U206,1YR VSTEAMFNDTNSVRCAL ALNG     ,LICSAPK OLV C AP DVCCAL            ,148,126-01370           ,0,             ,0,0,0, ,125.25,N, ,INT-SW,SLIC,1539, ,N
A,BA0254      ,U206,1YR VSTEAMFNDTNSVRCAL ALNG     ,LICSAPK OLV C AP USRCAL            ,170,126-01371           ,0,             ,0,0,0, ,144.04,N, ,INT-SW,SLIC,1539, ,N
